contrato;contrato_siad;status;descricao_do_motivo;data;responsavel;portal_de_compras
DC-008/2023;9385831;Andamento;;2025-03-20 00:00:00;-;2301520 000046/2022
DPEI-9470883;9470883;Andamento;;2025-07-15 00:00:00;-;2301601 000002/2025
DM-021/2023;9406400;Andamento;;2025-08-14 00:00:00;-;2301762 000029/2023
DP-005/2023;9383229;Andamento;;2025-07-21 00:00:00;-;2301601 000004/2022
DM-003/2024;9412570;Andamento;;2025-08-18 00:00:00;-;2301762 000048/2023
DC-9473951/2025;9473951;Andamento;;2025-08-26 00:00:00;-;2301520 000010/2025
AMA-9445113/2024;9445113;Andamento;;2025-09-05 00:00:00;-;2301617 000001/2024
AMA-9458828/2025;9458828;Andamento;;2025-09-05 00:00:00;-;2301617 000005/2024
AMA-9447965/2025;9447965;Andamento;;2025-09-05 00:00:00;-;2301617 000004/2024
DM-032/2023;9410180;Andamento;;2025-08-01 00:00:00;-;2301762 000039/2023
DC-022/2022;9371865;Andamento;;2025-07-28 00:00:00;-;2301520 000032/2022
DC-002/2024;9417858;Andamento;;2025-07-21 00:00:00;-;2301520 000001/2024
DPEI-9447985;9447985;Andamento;;2025-08-18 00:00:00;-;2301601 000004/2024
DC-009473175/2025;9473175;Andamento;;2025-09-01 00:00:00;-;2301520 000016/2025
DPEI - 028/2023;9393495;Andamento;;2023-09-01 00:00:00;-;2301601 000007/2023
PRC-24.001/2019-ANO 5;9222901;Andamento;;2023-10-16 00:00:00;-;2301601 000008/2018
DP-011/2023;9386091;Andamento;;2024-01-18 00:00:00;-;2301601 000004/2023
DM-22.005/2020-D;9245589;Andamento;;2024-04-06 00:00:00;-;2301762 000038/2019
DC-011/2022;9336934;Andamento;;2024-02-26 00:00:00;-;1301608 000004/2021
DM-22.011/2020-D;9245717;Andamento;;2024-04-07 00:00:00;-;2301762 000040/2019
DM-22.008/2020-D;9245549;Andamento;;2024-04-01 00:00:00;-;2301762 000036/2019
DM-22.004/2020-D;9245547;Andamento;;2024-03-19 00:00:00;-;2301762 000039/2019
DC-002/2024;9417858;Andamento;;2024-04-04 00:00:00;-;2301520 000001/2024
DC-003/2024;9417863;Andamento;;2024-04-04 00:00:00;-;2301520 000001/2024
DM-011/2024;9421657;Andamento;;2024-04-08 00:00:00;-;2301762 000036/2023
DC-006/2024;9422285;Andamento;;2024-06-13 00:00:00;-;2301520 000016/2023
DC-010/2024;9426807;Andamento;;2024-06-03 00:00:00;-;2301520 000029/2023
DC-005/2023;9382509;Andamento;;2024-05-02 00:00:00;-;2301520 000050/2022
DM-001/2024-A;9410177;Andamento;;2025-02-20 00:00:00;-;2301762 000001/2024
9473911/2024;9473911;Andamento;;2025-09-19 00:00:00;-;1301017 000043/2024
DM-002/2023;9377832;Andamento;;2024-02-01 00:00:00;-;2301762 000071/2022
