contrato;obra;latitude;longitude
DM-22.006/2019-A;Obra 1;-18,9226438;-48,2957901
PRC-22.032/2017-C;Obra 1;-19,638615;-43,228648
PRC-22.030/2017-C;Obra 1;-16,217251;-44,433348
PRC-22.028/2017-C;Obra 1;-15,9105038;-46,1059978
PRC-22.035/2017-C;Obra 1;-16,4381188;-41,0095225
DM-22.011/2020-A;Obra 1;-20,4539389;-45,4445009
DM-027/2021;Obra 1;-19,869599;-43,840211
PRC-22.004/2017;Obra 2;;
PRC-22.004/2017;Obra 3;;
PRC-22.004/2017;Obra 8;-18,77246334292113;-43,41659404686549
PRC-22.004/2017;Obra 9;-18,6442419;-43,407378
PRC-22.004/2017;Obra 4;-18,88887952633539;-43,39886883436291
PRC-22.004/2017;Obra 7;-18,81195530443281;-43,40601747189601
PRC-22.004/2017;Obra 6;-18,82528653716461;-43,40917590571313
PRC-22.004/2017;Obra 5;-18,85819338326208;-43,397897210554
DM-22.004/2020;Obra 1;-18,7320337;-47,5006564
DC-22.015/2020;Obra 2;;
DC-22.015/2020;Obra 1;-19,4749275;-42,4875347
DC-003/2021;Obra 1;;
DC-007/2023;Obra 1;-18,53357023062031;-45,22939254161328
DC-007/2023;Obra 1;-18,5985944;-45,3534446
DC-007/2023;Obra 2;;
DC-010/2023;Obra 1;-18,82750821640432;-43,68111262065429
DC-010/2023;Obra 1;-18,99808443646908;-43,46594993046876
DC-009/2023;Obra 1;;
DP-011/2023;Obra 1;-19,919052;-43,9386685
DP-009/2023;Obra 1;-17,8832438;-41,4973787
DP-009/2023;Obra 1;-18,2009679;-43,5752756
DP-021/2023;Obra 1;;
DP-021/2023;Obra 3;;
DP-021/2023;Obra 4;;
DP-021/2023;Obra 2;;
DM-012/2023;Obra 1;-19,64330080850729;-47,51066484988974
DM-012/2023;Obra 1;-19,8599194;-47,43201620000001
DP-020/2023;Obra 3;;
DP-020/2023;Obra 1;;
DP-020/2023;Obra 4;;
DP-020/2023;Obra 2;;
DO-001/2021- B;Obra 2;-19,928208;-43,983328
PRC-22.024/2018-E;Obra 1;-21,1079839;-42,949159
DM-019/2023;Obra 1;-18,8978127;-41,9473919
