contrato;contrato_siad;obra;municipio;portal_de_compras
DC-016/2023;9402062;Obra 1;Canápolis;1301606 000001/2023
DC-017/2021;9300461;Obra 1;Barão de Cocais;2301520 000020/2021
DC-017/2021;9300461;Obra 1;Caeté;2301520 000020/2021
DC-017/2022;9342933;Obra 1;Dionísio;2301520 000010/2022
DC-017/2022;9342933;Obra 1;Jaguaraçu;2301520 000010/2022
DC-017/2022;9342933;Obra 1;Marliéria;2301520 000010/2022
DC-017/2022;9342933;Obra 1;São Domingos do Prata;2301520 000010/2022
DC-017/2022;9342933;Obra 1;São José do Goiabal;2301520 000010/2022
DC-017/2023;9406230;Obra 1;Mercês;2301520 000015/2023
DC-017/2023;9406230;Obra 2;Mercês;2301520 000015/2023
DC-017/2023;9406230;Obra 2;Piraúba;2301520 000015/2023
DC-017/2023;9406230;Obra 2;Rio Pomba;2301520 000015/2023
DC-018/2021;9318278;Obra 1;Limeira do Oeste;1301608 000001/2021
DC-018/2021;9318278;Obra 2;Limeira do Oeste;1301608 000001/2021
DC-018/2021;9318278;Obra 3;Limeira do Oeste;1301608 000001/2021
DC-018/2022;9344786;Obra 1;Marliéria;2301520 000015/2022
DC-018/2023;9408433;Obra 1;Três Pontas;1301606 000002/2023
DC-018/2023;9408433;Obra 1;Varginha;1301606 000002/2023
DC-018/2023;9408433;Obra 2;Três Pontas;1301606 000002/2023
DC-018/2023;9408433;Obra 2;Varginha;1301606 000002/2023
DC-019/2021;9309937;Obra 1;Coronel Pacheco;2301520 000026/2021
DC-019/2021;9309937;Obra 1;Goianá;2301520 000026/2021
DC-019/2021;9309937;Obra 1;Juiz de Fora;2301520 000026/2021
DC-019/2023;9407817;Obra 1;Extrema;2301520 000021/2023
DC-019/2023;9407817;Obra 1;João Pinheiro;2301520 000021/2023
DC-019/2023;9407817;Obra 2;João Pinheiro;2301520 000021/2023
DC-019/2023;9407817;Obra 3;Bonfinópolis de Minas;2301520 000021/2023
DC-020/2021;9317793;Obra 1;Limeira do Oeste;1301608 000002/2021
DC-020/2022;9344782;Obra 1;Pintópolis;2301520 000013/2022
DC-020/2022;9344782;Obra 1;Urucuia;2301520 000013/2022
DC-020/2023;9411269;Obra 1;Fronteira dos Vales;2301520 000019/2023
DC-020/2023;9411269;Obra 1;Joaíma;2301520 000019/2023
DC-021/2021;9321273;Obra 1;Pintópolis;2301520 000027/2021
DC-021/2021;9321273;Obra 1;São Francisco;2301520 000027/2021
DC-021/2021;9321273;Obra 2;Pintópolis;2301520 000027/2021
DC-021/2021;9321273;Obra 2;São Francisco;2301520 000027/2021
DC-021/2022;9374633;Obra 1;Nova Lima;2301520 000025/2022
DC-021/2022;9374633;Obra 1;Sabará;2301520 000025/2022
DC-022/2022;9371865;Obra 1;Papagaios;2301520 000032/2022
DC-022/2022;9371865;Obra 1;Pompéu;2301520 000032/2022
DC-022/2023;9430925;Obra 1;Paracatu;1301606 000003/2023
DC-022/2023;9430925;Obra 2;Paracatu;1301606 000003/2023
DC-023/2022;9350490;Obra 1;Araxá;2301520 000024/2022
DC-024/2022;9388622;Obra 1;Divinésia;2301520 000033/2022
DC-024/2022;9388622;Obra 1;Paula Cândido;2301520 000033/2022
DC-025/2022;9388867;Obra 1;Pintópolis;2301520 000021/2022
